game_date,sport_key,home_team,away_team,source,commence_time,home_ml,away_ml,draw_ml,home_price_decimal,away_price_decimal,draw_price_decimal,home_spread,away_spread,home_spread_ml,away_spread_ml,home_spread_price_decimal,away_spread_price_decimal,total_line,over_ml,under_ml,over_price_decimal,under_price_decimal,home_score,away_score,result,season
2026-08-23,baseball_mlb,Colorado Rockies,Cleveland Guardians,betmgm,2026-08-23 00:05:00+00,,,,,,,,,,,,,6.5,210,-275,3.1,1.3636,,,,2026
2026-08-23,baseball_mlb,Arizona Diamondbacks,Cincinnati Reds,atg,2026-08-23 00:10:00+00,25000,,,251,,,,,,,,,,,,,,,,"",2026
2026-08-23,baseball_mlb,Arizona Diamondbacks,Cincinnati Reds,atg_open,2026-08-23 00:10:00+00,1600,-10000,,17,1.01,,,,,,,,,,,,,,,"",2026
2026-08-23,baseball_mlb,Arizona Diamondbacks,Cincinnati Reds,bet365,2026-08-23 00:10:00+00,,,,,,,-1.5,1.5,125,-150,2.25,1.6667,8.5,-110,-110,1.9091,1.9091,,,,2026
2026-08-23,baseball_mlb,Arizona Diamondbacks,Cincinnati Reds,betmgm,2026-08-23 00:10:00+00,,,,,,,-2.5,1.5,190,-150,2.9,1.6667,16.5,425,-650,5.25,1.1538,,,,2026
2026-08-23,baseball_mlb,Arizona Diamondbacks,Cincinnati Reds,betrivers,2026-08-23 00:10:00+00,,,,,,,-1.5,1.5,133,-159,2.33,1.6289,8,-113,-107,1.885,1.9346,,,,2026
2026-08-23,baseball_mlb,Arizona Diamondbacks,Cincinnati Reds,betrivers_ca,2026-08-23 00:10:00+00,20000,,,201,,,,,,,,,,,,,,,,"",2026
2026-08-23,baseball_mlb,Arizona Diamondbacks,Cincinnati Reds,betrivers_ca_open,2026-08-23 00:10:00+00,1200,,,13,,,,,,,,,,,,,,,,"",2026
2026-08-23,baseball_mlb,Arizona Diamondbacks,Cincinnati Reds,caesars,2026-08-23 00:10:00+00,,,,,,,-1.5,1.5,122,-145,2.22,1.6897,16.5,200,-275,3,1.3636,,,,2026
2026-08-23,baseball_mlb,Arizona Diamondbacks,Cincinnati Reds,draftkings,2026-08-23 00:10:00+00,,,,,,,-1.5,1.5,124,-149,2.24,1.6711,8.5,-108,-112,1.9259,1.8929,,,,2026
2026-08-23,baseball_mlb,Arizona Diamondbacks,Cincinnati Reds,fanatics,2026-08-23 00:10:00+00,,,,,,,-1.5,1.5,130,-160,2.3,1.625,9.5,100,-130,2,1.7692,,,,2026
2026-08-23,baseball_mlb,Arizona Diamondbacks,Cincinnati Reds,fanduel,2026-08-23 00:10:00+00,,,,,,,-1.5,1.5,125,-150,2.25,1.6667,8,-110,-110,1.9091,1.9091,,,,2026
